name,language,commits,files,loc
appirits/awesome_admin_layout,Ruby,94,30,1096
johabu/simple_rsa,C,8,2,157
juhniorsantos/laravel-authentication-acl,not found
DuncanAForbes/quantlib,C++,18711,4296,617018
ishitach/gtg,Gettext Catalog,5130,235,23869
eyolfson/research-2016-ecoop-artifact,Shell,47,9,199
Mengman/jhipster-demo,not found
guoyu07/G-Library,PHP,45,28,11467
gouldingm/swd-recorder,C#,84,306,40371
cushon/retrolambda,Java,410,73,4550
trZone/NPKC_17_Teensy3.2,Arduino,6,0,0
SerkanSipahi/jspm-cli,JavaScript,1160,39,5708
TNAJanssen/DoctrineEncryptBundle,PHP,107,20,910
MehranMazhar/angular,not found
KeithLee208/hyperapp,JavaScript,131,7,245
isoscl/seadroid,Java,1739,189,28158
shohag121/wp-github-updater,PHP,30,2,294
mbrannigan/salt-state-test,not found
AlexandreHonorato/wildfly,Java,19164,7456,492632
c-jheengut/kdev-kernel,C++,52,8,751
uhlume/neveragaindottech.github.io,HTML,4711,4,476
ghamry/jquery.hotkeys,JavaScript,129,11,10265
plirof/pluck,PHP,563,905,47843
alg/carrierwave-base64-storage,Ruby,10,4,81
IL2liu/msu_ngs2015,HTML,35,2,137
Exia101/dev1-mini-project,CSS,294,47,7465
joshswan/gulp-merge-json,JavaScript,93,4,425
javillegas/unity3d-store,C#,595,55,4812
jbenden/pcbsd,C++,8141,2021,539487
ColeSchaefer/NanoCore-Base-Plugin,not found
erizhang/fake_inject,C,20,6,119
homingli/fig,Python,791,52,3517
illuminate3/LogViewer,PHP,238,78,3889
willotheblessed/Dragonet,Java,274,713,39001
ONSdigital/ras-common,Python,313,29,1173
fanhattan/kafka-rb,not found
LordWiley/node-taas-client,JavaScript,29,6,1190
itomato/brew,Ruby,9912,344,33317
martinheidegger/nodegit,JavaScript,2627,2774,1055961
the-vk/yamp-js,JavaScript,6,1,394
Nitwoe/SGJ2015,not found
Olive4Oyl/js-jquery-stop-propogation-lab-wdf-000,JavaScript,13,4,757
bdurand/whenever,Ruby,438,34,2278
