project name,project url,category,commits
drumknott,https://github.com/pat/drumknott,"[1, 3, 5, 7]",4
prezto,https://github.com/jpbetz/prezto,"[1, 3, 5, 6]",56
imas-producer_schedule,https://github.com/hsugita/imas-producer_schedule,"[1, 3, 5, 7]",1
vsc,https://github.com/kylezhang/vsc,[],15
PHPStaticHelpers,https://github.com/divampo/PHPStaticHelpers,"[1, 5]",2
discord-api-docs,https://github.com/manuelgu/discord-api-docs,"[1, 3, 5, 7]",10
cf-mysql-release,https://github.com/cloudfoundry/cf-mysql-release,"[1, 3]",215
bds,https://github.com/D630/bds,[1],7
shadowsocks,https://github.com/babyformula/shadowsocks,"[1, 3, 5, 6]",1
node-forro,https://github.com/imlucas/node-forro,"[1, 3, 5]",14
neocities,https://github.com/boumer/neocities,[7],12
webhdfs,https://github.com/att-bdpaas/webhdfs,"[1, 3, 5]",9
chef-redis,https://github.com/aforward-oss/chef-redis,"[1, 3, 6]",11
django-movies-api,https://github.com/Apentz49/django-movies-api,"[1, 2, 3, 6]",1
jmsPaymentPlugin,https://github.com/schmittjoh/jmsPaymentPlugin,"[1, 6, 7]",2
odoo,https://github.com/jmorcos22/odoo,"[1, 3]",30
TinyBlog,https://github.com/loyabe/TinyBlog,[],1
weixin,https://github.com/fanglanfeng/weixin,[],2
pb,https://github.com/henvic/pb,"[1, 3]",25
udacity-xyzreader,https://github.com/fredericletellier/udacity-xyzreader,"[1, 2, 3, 6, 8]",1
homebrew,https://github.com/socialchorus/homebrew,[],49
android-midi-lib,https://github.com/cambiata/android-midi-lib,[],5
LightWM,https://github.com/connorworkman/LightWM,"[1, 3]",4
QuantLib,https://github.com/fabianfh/QuantLib,"[1, 3, 4, 5, 6, 7]",12
piximgen,https://github.com/thekonz/piximgen,"[1, 3]",5
IntentKit,https://github.com/gaopeng9090/IntentKit,"[3, 4, 5, 6, 7]",42
embedio,https://github.com/kuyoska/embedio,[3],45
react,https://github.com/bran921007/react,"[3, 6, 7]",52
TinyMceContextMenu,https://github.com/cliffparnitzky/TinyMceContextMenu,"[1, 3, 6]",11
duckling,https://github.com/Peplo/duckling,"[3, 6]",40
redis-windows,https://github.com/niceguy-php/redis-windows,"[1, 3, 6]",25
gemstash,https://github.com/larssonandreas/gemstash,"[1, 2, 3, 5, 6, 7]",20
Lizitt-Unity3D-Outfitter,https://github.com/asmboom/Lizitt-Unity3D-Outfitter,"[1, 3, 4, 6]",9
khan-exercises,https://github.com/igorT/khan-exercises,"[1, 5]",15
volume-leather-fill,https://github.com/omedbb/volume-leather-fill,"[1, 3, 5, 7]",1
rrc_detection,https://github.com/bikong2/rrc_detection,"[1, 2, 3, 5, 6]",42
FreeCodeCamp,https://github.com/bkachamakov/FreeCodeCamp,"[3, 5, 7]",345
iOSSF,https://github.com/tangqiaoboy/iOSSF,[],6
testapp_rails,https://github.com/abhilashkkumar/testapp_rails,[],3
cdnjs-1,https://github.com/ryam244/cdnjs-1,"[1, 3, 5, 7]",34
AutoCircle_generater,https://github.com/melodysu83/AutoCircle_generater,"[1, 3, 6]",17
angularjs-springmvc-sample,https://github.com/caomm/angularjs-springmvc-sample,"[1, 3, 6]",28
WeatherPage,https://github.com/manuelbrand/WeatherPage,"[1, 2, 3, 5]",1
GreenPHP,https://github.com/takeshineshiro/GreenPHP,[],10
LightGBM,https://github.com/zhly0/LightGBM,"[1, 2, 5, 6]",27
cookieconsent,https://github.com/RubenPHP/cookieconsent,"[1, 2, 3, 5, 7]",30
javascript-intro-to-functions-lab-web-031317,https://github.com/peteryunkim/javascript-intro-to-functions-lab-web-031317,"[1, 2, 3]",17
vrptools,https://github.com/lindes/vrptools,"[1, 2, 4, 5, 6, 7]",10
neuraltalk2,https://github.com/adrian907/neuraltalk2,"[1, 2, 3, 5]",18
ircdd,https://github.com/MHarrison72/ircdd,[],4
django-select2,https://github.com/harvard-crimson/django-select2,"[3, 4, 5, 6]",49
matter-js,https://github.com/m4rm0k/matter-js,"[1, 3, 4, 5, 6]",18
GaCD-Assignment,https://github.com/uliano/GaCD-Assignment,[1],3
web-auth-readme-v-000,https://github.com/SCDesigns/web-auth-readme-v-000,"[1, 2, 3]",9
dropzone,https://github.com/MasazI/dropzone,"[1, 2, 3, 6]",5
puppet-splunk,https://github.com/petems/puppet-splunk,"[1, 3, 4, 6]",7
hartapoliticii,https://github.com/codertux/hartapoliticii,[],11
gcloud-node,https://github.com/savethefails/gcloud-node,"[1, 3, 6, 7]",128
CarND-Transfer-Learning-Lab,https://github.com/tmandal/CarND-Transfer-Learning-Lab,[],13
decent,https://github.com/ld000/decent,"[1, 3, 5, 6]",10
avalon-server-render-example,https://github.com/zzl81cn/avalon-server-render-example,[],5
dynamic-json-resume,https://github.com/ahmadassaf/dynamic-json-resume,"[1, 2, 3, 5, 6]",15
javascript,https://github.com/envs/javascript,"[1, 3, 5, 6, 8]",605
embedC-Challenge,https://github.com/FleetCarma/embedC-Challenge,[1],8
ACTWebSocket,https://github.com/HAERUHAERU/ACTWebSocket,[],10
fewd-3-homework-week-2,https://github.com/fewd-sg/fewd-3-homework-week-2,[],2
jquery,https://github.com/CASunday2003/jquery,"[3, 5, 6, 7]",90
web-animations-js,https://github.com/ibarrick/web-animations-js,"[1, 2]",28
foxmote,https://github.com/abricot/foxmote,[],3
flisol-api,https://github.com/HugoTamaki/flisol-api,"[1, 3]",1
android-training-course-in-chinese,https://github.com/crh19970307/android-training-course-in-chinese,[],155
cpprestsdk,https://github.com/vanloswang/cpprestsdk,"[1, 3, 6, 7]",4
Seccubus_v2,https://github.com/Fu2k/Seccubus_v2,"[1, 4]",99
monodroid-samples,https://github.com/EgoistTheBest/monodroid-samples,"[1, 5, 7]",9
rallets-android,https://github.com/Chen0831/rallets-android,"[1, 3, 4, 5]",58
groovy-core,https://github.com/rivieragug/groovy-core,"[1, 2, 3, 5]",9
loaders,https://github.com/Parisson/loaders,"[3, 5]",31
broccoli-pug-plugin,https://github.com/Lodin/broccoli-pug-plugin,"[1, 3, 6]",1
thoughtworks-email-signature-generator,https://github.com/jimlester/thoughtworks-email-signature-generator,[1],19
ca-bundle,https://github.com/kleopatra999/ca-bundle,"[1, 3, 5, 6]",3
PruneCluster,https://github.com/abhinav1592/PruneCluster,"[1, 2, 3, 5]",30
hackathon-2016-12,https://github.com/barchetta/hackathon-2016-12,"[1, 3, 6]",5
aci-fabric-deploy,https://github.com/rivabe/aci-fabric-deploy,"[1, 3]",1
openshift3mlbparks,https://github.com/GitBoat/openshift3mlbparks,[1],6
coffee-react-quickstart,https://github.com/mnacos/coffee-react-quickstart,"[1, 2, 3]",19
pupy,https://github.com/kcufId/pupy,"[1, 5, 6]",52
object-parser,https://github.com/59naga/object-parser,"[1, 3, 5, 6]",6
Shielded,https://github.com/jbakic/Shielded,"[1, 2, 3]",35
swift-java-bridge,https://github.com/ctinnell/swift-java-bridge,[1],6
aw-reporting,https://github.com/ashusa303/aw-reporting,"[1, 3, 4, 6, 7]",41
Spectral,https://github.com/avigad/Spectral,"[1, 4, 5, 6]",26
Learning-Analytics-Project,https://github.com/ThomasGrivaz/Learning-Analytics-Project,[1],9
mosh-chrome,https://github.com/jlangston/mosh-chrome,"[1, 3, 5]",7
phantomjs,https://github.com/gskachkov/phantomjs,"[1, 4, 5, 6, 7]",48
pixelpusher,https://github.com/cbogithub/pixelpusher,"[1, 4]",2
setup-ipsec-vpn,https://github.com/thesaadarshad/setup-ipsec-vpn,"[1, 3, 5, 6]",116
ricochet,https://github.com/detoxin/ricochet,"[1, 5, 6]",12
docker-elk,https://github.com/zouzias/docker-elk,"[1, 6]",37
tutorials,https://github.com/BhanuPatnana/tutorials,"[1, 3]",13
react-web,https://github.com/cpunion/react-web,"[3, 5]",26
MiniWeChat-Client,https://github.com/yuechuanbingzhi163/MiniWeChat-Client,[],11
feedback,https://github.com/alanqian/feedback,"[1, 3, 5, 6]",11
.dotfiles,https://github.com/brianrainey/.dotfiles,"[1, 3, 6]",10
plotly,https://github.com/d-vf/plotly,[5],28
es2015-bootstrap,https://github.com/johntron/es2015-bootstrap,[],3
stoqs,https://github.com/carueda/stoqs,"[1, 6]",63
nrays,https://github.com/sebcrozet/nrays,"[1, 3, 6]",14
CoreAR,https://github.com/letup/CoreAR,"[1, 3, 5, 6]",11
node.unnecessary.js,https://github.com/wthit56/node.unnecessary.js,"[1, 4]",2
XChange,https://github.com/romerun/XChange,"[1, 3, 6, 7, 8]",26
Pass4Win,https://github.com/bazmecode/Pass4Win,"[1, 2, 3, 5, 6]",25
clBLAS,https://github.com/hughperkins/clBLAS,"[1, 2, 3, 5, 6, 7]",17
srs,https://github.com/ruoshui/srs,"[1, 3, 4, 5, 6, 8]",983
angular-ckeditor-directive,https://github.com/crann/angular-ckeditor-directive,"[1, 3, 5]",7
homebrew-cask,https://github.com/troska/homebrew-cask,"[5, 6, 7]",80
bs-webapi-incubator,https://github.com/BuckleTypes/bs-webapi-incubator,"[1, 3]",50
data-science-ipython-notebooks,https://github.com/christopherwoo/data-science-ipython-notebooks,"[1, 5, 6]",156
guides,https://github.com/lionfish7699/guides,[],46
python-fire,https://github.com/yaogdu/python-fire,"[1, 2, 3, 5, 6]",2
swiped,https://github.com/monw3c/swiped,"[3, 6]",11
UniversalMediaServer,https://github.com/Dauthiwarlord/UniversalMediaServer,"[1, 5, 6]",17
puppet-firewalld,https://github.com/juame/puppet-firewalld,"[1, 3]",8
MSCollectionViewCalendarLayout,https://github.com/tetsuo6666/MSCollectionViewCalendarLayout,"[1, 2, 3, 5, 6, 7]",16
angular-duration-format,https://github.com/renoguyon/angular-duration-format,[],10
mitro,https://github.com/slavame/mitro,"[1, 3, 5, 6]",6
chugins,https://github.com/Chiel92/chugins,[3],21
onepage_scroll,https://github.com/tourze/onepage_scroll,"[3, 6]",19
oauth2,https://github.com/subclub/oauth2,[],47
BeeFramework,https://github.com/dev1234/BeeFramework,[5],107
parseiqiyi,https://github.com/GitLqr/parseiqiyi,[],12
drupal_store_ftm,https://github.com/fitmoo/drupal_store_ftm,"[1, 3, 6]",1
pat,https://github.com/travisjeffery/pat,"[3, 5, 6]",19
d3,https://github.com/zephyrm/d3,"[1, 2, 3]",185
AFiNeS,https://github.com/shilobanerjee/AFiNeS,[],26
